exprun_digit;rec;meas_type;sample;ligand;meas_driftcorr;meas_salt;Rstart;Rmaxlim;Rminlim;kd_term;kd_stats;kd_stats_value
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;R;estimate;3,795358e-01
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;R;std.error;2,009168e-02
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;R;statistic;1,889020e+01
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;R;p.value;7,658950e-06
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;KD_eq;estimate;8,101174e+00
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;KD_eq;std.error;1,268557e+00
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;KD_eq;statistic;6,386133e+00
 901;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx0901;RBD;ref;norm;0,3951578;0,4741894;0,3161262;KD_eq;p.value;1,394085e-03
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;R;estimate;3,534165e-01
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;R;std.error;1,324492e-02
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;R;statistic;2,668317e+01
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;R;p.value;1,382302e-06
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;KD_eq;estimate;1,284137e+01
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;KD_eq;std.error;1,327119e+00
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;KD_eq;statistic;9,676125e+00
1001;nbTy1;TIT;200529xSAXxNB1AxRBDHisxTITx1001;RBD;ref;high;0,3353830;0,4024596;0,2683064;KD_eq;p.value;2,001425e-04
